link,title,price,region,description
https://krisha.kz/a/show/27999297,"2-комнатная квартира, 65.9 м², 3/5 эт., мкр Аксай-3, Мкр Аксай-3 2 — Момышулы",17500000,"Алматы, Ауэзовский р-н","
                                    Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор, кондиционер.
                
                                    Продается двухкомнатная квартира улучшенной планировки, частично с мебелью. Просторная квартира находится в сейсмостойком крупно панельном доме. Расположена на самом комфортном третьем этаже. Две лоджии, общая площадь квартиры с лоджиями 65.9, немецкие пластиковые окна, встроенная кухня, комнаты изолированы, санузел раздельный, все трубы и батареи новые. Кладовка в квартире, не угловая. Двойная входная дверь. Тихий двор. Комнаты на две стороны (восток-запад). Развитая инфраструктура, удобное расположение, рядом школы, детсады, рынок, магазины, аптеки, клиника, транспорт во все направления. Возможна продажа полностью с мебелью по цене 18000000 тенге. Возможен торг. Обмен не интересует. Хозяин, без посредников. Риэлторов прошу нас не беспокоить.
                            "
https://krisha.kz/a/show/24091899,"5-комнатная квартира, 150 м², 5/7 эт., Шернияза 888",23000000,"Актобе, Старый город","
                                    Пластиковые окна, улучшенная, комнаты изолированы, тихий двор, кондиционер.
                
                                    Кирпичн. дом, особой планировки, зал-36, 5кв. м, кухня-25, 2кв. м, 2 лоджий, 2 сан. узла. Теплая уютная квартира, лифт в раб. состоянии, вахтер, тихий двор. Поблизости детс. сад, школы .
                            "
https://krisha.kz/a/show/25267187,"3-комнатная квартира, 101 м², проспект Сакена Сейфуллина 580 — проспект Аль-Фараби",32990000,"Алматы, Бостандыкский р-н","
                                    Пластиковые окна.
                
                                    Торопитесь! осталось только 2 квартиры !Здание монолитное, фасад выполнен с применением облегчённой экологически чистой фиброцементной плиты и облицован искусственным камнем евростоун. Сейсмостойкость — 9 баллов. Для достижения наивысшей степени сейсмостойкости в основании дома залита бетонная подушка толщиной 1, 3 метра.
                            "
https://krisha.kz/a/show/28259215,"2-комнатная квартира, 60 м², 7/17 эт., Абая 150/230 — Тургут Озала",28000000,Алматы,"
                                    Неугловая, комнаты изолированы, кондиционер.
                
                                    Уютная квартира в ЖК Гаухартас. Тихий, охраняемый двор с видеонаблюдением. Есть возможность продажи с паркингом.
                            "
https://krisha.kz/a/show/29152561,"2-комнатная квартира, 51 м², 4/5 эт., Медеуский р-н, мкр Самал-1",25000000,"Алматы, Медеуский р-н",
https://krisha.kz/a/show/29151510,"2-комнатная квартира, 52.5 м², 5/5 эт., 11-й мкр 11",12000000,"Актау, 11-й мкр","
                
                                    Продам 2-х ком квартиру 11-11, торцевая сторона. Квартира юридически чистая. Хорошее месторасположение, рядом детская площадка, детские сады, школы и т.д.
                            "
https://krisha.kz/a/show/26765608,"1-комнатная квартира, 50.5 м², 2/5 эт., Набережная 62",12000000,Щучинск,"
                                    Пластиковые окна, счётчики, тихий двор.
                
                                    При строительстве дома использованы самые качественные материалы: оконные системы REHAU, биметаллические радиаторы, лифт в подъезде, хорошая тепло- и звукоизоляция, тепловой счетчик в квартире, межквартирные капитальные перегородки 42 см, наружные стены дома - 74 см (утеплитель 10 см). Получистовая отделка квартир (идеально выровненные пол, стены, откосы). Прекрасная планировка, близость к курорту и удобное расположение в центре города Щучинска! Развитая инфраструктура, школа и детский сад в шаговой доступности. Функционирует центральное отопление, идет внутренняя отделка. ДОМ СДАН В ЭКСПЛУАТАЦИЮ 5 ОКТЯБРЯ 2016 Г!Возможна перепланировка в 2-х комнатную.
                            "
https://krisha.kz/a/show/27711862,"3-комнатная квартира, 62 м², 1/4 эт., Красногвардейский тракт — Лавренева",12500000,"Алматы, Турксибский р-н","
                                    Пластиковые окна, неугловая, комнаты изолированы, новая сантехника, кладовка, тихий двор.
                
                                    Квартира в кирпичном доме, очень теплая, с большими, изолированными комнатами., раздельным сан. узлом. В квартире был сделан капитальный ремонт в 2014 году - новая проводка, трубы пластиковые, полы вскрывали - делали стяжку, окна пластиковые, стены выравнивали - левкас, двери м/ к - Российские, современный кафель в ванной и сан. узле. Так как дом кирпичный - нет абсолютно никакой слышимости ни от соседей, ни с улицы. Газовая колонка - преимущество, горячая вода нужной вам температуры. Очень много транспорта в любой конец города. Подходит под ипотеку.
                            "
https://krisha.kz/a/show/28950525,"2-комнатная квартира, 40 м², 4/4 эт., Тонкуруш 10",4000000,Тараз,"
                                    Пластиковые окна, неугловая, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор.
                
                                    Срочно продам квартиру. Улучшенная, неугловая, в хорошем состояний. В шаговой доступности школа, детсад, магазины, супер маркет. Автобусная развязка в любом направлений.
                            "
https://krisha.kz/a/show/29155252,"2-комнатная квартира, 50 м², 5/5 эт., 12-й мкр 60",9300000,"Актау, 12-й мкр","
                
                                    Срочно продам 2 х комн квартиру 12-60, 5 эиаж. средний ремонт и с мебелью. рядом школа и садик. трк актау.
                            "
